"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2597","Valid data Checkout","chromium","2026-02-01","passed","2026-02-01","Checkout process","checkoutPage.spec.ts","",""
"","1944","remove from Cart","chromium","2026-02-01","passed","2026-02-01","Cart process via cart page","cartPage.spec.ts","",""
"","2181","has logo","chromium","2026-02-01","passed","2026-02-01","Log in process","loginPage.spec.ts","",""
"","1780","remove from Cart","chromium","2026-02-01","passed","2026-02-01","Cart process via inventory page","inventoryPage.spec.ts","",""
"","2150","Empty data Checkout","chromium","2026-02-01","passed","2026-02-01","Checkout process","checkoutPage.spec.ts","",""
"","1885","log in process","chromium","2026-02-01","passed","2026-02-01","Log in process","loginPage.spec.ts","",""
"","2356","add to Cart","chromium","2026-02-01","passed","2026-02-01","Cart process via cart page","cartPage.spec.ts","",""
"","1996","add to Cart","chromium","2026-02-01","passed","2026-02-01","Cart process via inventory page","inventoryPage.spec.ts","",""
